Time,Quadrant Number,Ball Colour,Type (Entry or Exit)
0:00:00.033333,2,red,Entry
0:00:00.033333,1,white,Entry
0:00:02,4,white,Entry
0:00:02,1,white,Exit
0:00:02.033333,4,red,Entry
0:00:02.033333,2,red,Exit
0:00:02.033333,4,yellow,Entry
0:00:02.133333,2,red,Entry
0:00:02.133333,4,red,Exit
0:00:02.166667,4,red,Entry
0:00:02.166667,2,red,Exit
0:00:02.166667,2,red,Entry
0:00:02.166667,4,red,Exit
0:00:02.166667,4,red,Entry
0:00:02.166667,2,red,Exit
0:00:02.166667,2,red,Entry
0:00:02.166667,4,red,Exit
0:00:02.166667,2,yellow,Entry
0:00:02.166667,4,yellow,Exit
0:00:02.200000,4,red,Entry
0:00:02.200000,2,red,Exit
0:00:02.200000,2,red,Entry
0:00:02.200000,4,red,Exit
0:00:02.233333,4,red,Entry
0:00:02.233333,2,red,Exit
0:00:02.233333,2,red,Entry
0:00:02.233333,4,red,Exit
0:00:02.233333,4,red,Entry
0:00:02.233333,2,red,Exit
0:00:02.233333,2,red,Entry
0:00:02.233333,4,red,Exit
0:00:02.266667,4,red,Entry
0:00:02.266667,2,red,Exit
0:00:02.266667,2,red,Entry
0:00:02.266667,4,red,Exit
0:00:02.300000,4,red,Entry
0:00:02.300000,2,red,Exit
0:00:02.300000,2,red,Entry
0:00:02.300000,4,red,Exit
0:00:02.300000,4,red,Entry
0:00:02.300000,2,red,Exit
0:00:02.333333,2,red,Entry
0:00:02.333333,4,red,Exit
0:00:02.333333,4,red,Entry
0:00:02.333333,2,red,Exit
0:00:02.333333,3,white,Entry
0:00:02.333333,4,white,Exit
0:00:02.333333,4,white,Entry
0:00:02.333333,3,white,Exit
0:00:02.366667,2,red,Entry
0:00:02.366667,4,red,Exit
0:00:02.366667,4,red,Entry
0:00:02.366667,2,red,Exit
0:00:02.366667,2,red,Entry
0:00:02.366667,4,red,Exit
0:00:02.400000,4,red,Entry
0:00:02.400000,2,red,Exit
0:00:02.400000,2,red,Entry
0:00:02.400000,4,red,Exit
0:00:02.433333,4,red,Entry
0:00:02.433333,2,red,Exit
0:00:02.433333,2,red,Entry
0:00:02.433333,4,red,Exit
0:00:02.466667,4,red,Entry
0:00:02.466667,2,red,Exit
0:00:02.466667,2,red,Entry
0:00:02.466667,4,red,Exit
0:00:02.500000,4,red,Entry
0:00:02.500000,2,red,Exit
0:00:02.500000,2,red,Entry
0:00:02.500000,4,red,Exit
0:00:02.533333,4,red,Entry
0:00:02.533333,2,red,Exit
0:00:02.533333,2,red,Entry
0:00:02.533333,4,red,Exit
0:00:02.566667,4,red,Entry
0:00:02.566667,2,red,Exit
0:00:02.566667,2,red,Entry
0:00:02.566667,4,red,Exit
0:00:02.600000,4,red,Entry
0:00:02.600000,2,red,Exit
0:00:02.600000,2,red,Entry
0:00:02.600000,4,red,Exit
0:00:02.633333,4,red,Entry
0:00:02.633333,2,red,Exit
0:00:02.633333,2,red,Entry
0:00:02.633333,4,red,Exit
0:00:02.666667,4,red,Entry
0:00:02.666667,2,red,Exit
0:00:02.666667,2,red,Entry
0:00:02.666667,4,red,Exit
0:00:02.666667,2,white,Entry
0:00:02.666667,4,white,Exit
0:00:02.700000,4,red,Entry
0:00:02.700000,2,red,Exit
0:00:02.700000,2,red,Entry
0:00:02.700000,4,red,Exit
0:00:02.700000,4,white,Entry
0:00:02.700000,2,white,Exit
0:00:02.700000,2,white,Entry
0:00:02.700000,4,white,Exit
0:00:02.733333,4,red,Entry
